show,year,rating,imdb,rotten_tomatoes
40,Better Things,2016,7+,7.7,97%
41,Looking for Alaska,2019,18+,8.1,92%
42,Brockmire,2017,18+,8.1,98%
43,Legend of the Seeker,2008,16+,7.6,42%
44,Awkward.,2011,16+,7.5,78%
45,Fear the Walking Dead,2015,18+,6.9,73%
46,The Exorcist,2016,16+,8.1,89%
47,Happy Endings,2011,16+,7.7,78%
48,High Fidelity,2020,18+,7.6,85%
49,American Dad!,2005,16+,7.3,N/A
0,Haikyu!!,2014,16+,8.7,N/A
1,Chicago P.D.,2014,16+,8.1,N/A
2,The Bridge,2011,18+,8.6,N/A
3,Lethal Weapon,2016,16+,7.9,89%
4,Soul Eater,2008,16+,7.8,100%
5,Better Off Ted,2009,7+,8.2,89%
6,The Last Man on Earth,2015,16+,7.3,84%
7,Sleepy Hollow,2013,16+,7.4,77%
8,In the Flesh,2013,18+,8.0,97%
9,Merlin,2008,7+,7.9,N/A
10,The Gifted,2017,16+,7.4,79%
11,Absolutely Fabulous,1992,16+,8.1,96%
12,Chicago Fire,2012,16+,7.9,N/A
13,Malcolm in the Middle,2000,7+,8.0,N/A
14,Stargate Universe,2009,16+,7.6,70%
15,Shadowhunters,2016,16+,6.6,76%
16,Top of the Lake,2013,18+,7.5,82%
17,Horace and Pete,2016,18+,8.5,96%
18,The Mighty Boosh,2004,16+,8.3,100%
19,Rizzoli & Isles,2010,16+,7.6,72%
20,Rescue Me,2004,18+,8.3,89%
21,Snowfall,2017,18+,8.0,81%
22,Prime Suspect,1991,18+,8.4,100%
23,Key & Peele,2012,18+,8.3,97%
24,Deutschland,2015,18+,8.1,94%
25,Stumptown,2019,16+,7.5,92%
26,Empire,2015,16+,7.4,84%
27,The Mindy Project,2012,16+,7.4,86%
28,New Amsterdam,2018,16+,8.1,34%
29,Nip/Tuck,2003,18+,7.6,75%
30,The Librarians,2014,16+,7.3,89%
31,Case Closed,1996,16+,8.4,N/A
32,Blindspot,2015,16+,7.4,N/A
