show,year,rating,imdb,rotten_tomatoes
39,Penn & Teller: Bullshit!,2003,18+,8.2,N/A
40,RuPaul's Drag Race: Untucked,2010,16+,7.9,N/A
41,The Lord of the Skies,2013,16+,6.8,N/A
42,Fosse/Verdon,2019,18+,7.9,81%
43,GameFace,2017,N/A,7.7,83%
44,Chopped,2009,all,7.5,N/A
45,Shark,2006,16+,7.1,52%
46,Light as a Feather,2018,16+,6.6,44%
47,Big Time Rush,2009,all,6.2,N/A
48,St. Elsewhere,1982,7+,7.8,N/A
49,K-ON!,2009,16+,7.6,N/A
0,Murder in the First,2014,18+,7.2,N/A
1,"Love, Chunibyo & Other Delusions",2012,16+,7.4,N/A
2,Eli Stone,2008,7+,7.6,60%
3,Dirty Sexy Money,2007,16+,7.2,68%
4,The Adventures of Jimmy Neutron: Boy Genius,2002,all,6.7,N/A
5,Horrible Histories,2009,7+,8.8,N/A
6,Teen Titans Go!,2013,7+,5.2,N/A
7,Full Metal Panic!,2002,16+,7.6,N/A
8,"Drugs, Inc.",2010,16+,7.8,N/A
9,The Rifleman,1958,7+,8.3,N/A
10,The Incredible Dr. Pol,2011,7+,8.6,N/A
11,The Great,2020,N/A,7.2,80%
12,Reba,2001,7+,6.5,N/A
13,The Story of Film: An Odyssey,2011,N/A,8.5,N/A
14,The Thundermans,2013,all,5.7,N/A
15,Mistresses,2013,16+,7.1,N/A
16,Dance Moms,2011,7+,4.6,N/A
17,Space Dandy,2014,16+,8.1,83%
18,Jeremiah,2002,18+,7.0,N/A
19,Diff'rent Strokes,1978,all,6.6,N/A
20,Street Outlaws,2013,7+,6.7,N/A
21,The Dead Files,2011,7+,6.8,N/A
22,Stan Against Evil,2016,18+,7.3,N/A
23,Man v. Food,2008,all,7.3,N/A
24,The Most Dangerous Animal of All,2020,16+,6.2,73%
25,Rev.,2010,16+,7.9,N/A
26,Travel Man: 48 Hours in...,2015,7+,8.3,N/A
27,Bakuman,2010,16+,8.0,N/A
28,Blue Spring Ride,2014,N/A,7.4,N/A
29,Storage Wars,2010,7+,6.4,N/A
30,Dharma & Greg,1997,16+,6.3,N/A
31,D.Gray-man,2006,16+,7.7,N/A
32,Zac & Mia,2017,16+,8.1,N/A
33,Kimi ni Todoke: From Me to You,2009,7+,7.8,N/A
34,American Idol,2002,7+,4.1,68%
35,The Greatest American Hero,1981,7+,7.3,N/A
36,Spice and Wolf,2008,16+,8.0,N/A
37,Offspring,2010,16+,8.2,N/A
38,The Fall Guy,1981,7+,7.1,N/A
39,The Code,2014,N/A,7.4,N/A
40,Persona 4 The Animation,2011,7+,7.6,N/A
41,Toriko,2011,7+,7.3,N/A
42,Almost Family,2019,16+,6.4,24%
43,Dimension 404,2017,7+,6.6,80%
44,Beyond Scared Straight,2011,18+,7.3,N/A
45,Blood Blockade Battlefront,2015,18+,7.2,N/A
46,World Trigger,2014,16+,7.5,N/A
47,Inside Amy Schumer,2013,18+,6.0,86%
48,X Company,2015,16+,7.7,N/A
49,Braquo,2009,7+,8.0,N/A
0,The Cleveland Show,2009,16+,5.5,N/A
1,Rosario + Vampire,2008,18+,7.0,N/A
2,The Beverly Hillbillies,1962,all,7.1,N/A
3,Lip Service,2010,18+,7.4,N/A
4,Gordon Ramsay's 24 Hours to Hell and Back,2018,16+,7.3,N/A
5,The Kennedys,2011,18+,7.6,N/A
6,Haven't You Heard? I'm Sakamoto,2016,16+,7.2,N/A
7,The Riches,2007,18+,7.8,N/A
8,Fruits Basket,2001,7+,7.9,N/A
9,Step by Step,1991,all,6.5,N/A
10,Bluff City Law,2019,16+,6.7,36%
11,Dice,2016,18+,7.4,33%
12,Burden of Truth,2018,16+,7.2,N/A
13,How Not to Summon a Demon Lord,2018,18+,7.1,N/A
14,Outnumbered,2007,7+,8.0,N/A
15,Midnattssol,2016,7+,7.5,N/A
16,Him & Her,2010,16+,7.8,N/A
17,Un village français,2009,N/A,8.3,N/A
18,Pasión Prohibida,2013,N/A,8.4,N/A
19,The White Shadow,1978,N/A,8.0,N/A
20,Good Bones,2015,N/A,7.3,N/A
21,The Incredible Hulk,1978,7+,7.0,N/A
22,Find Me in Paris,2018,all,7.3,N/A
23,WWE NXT,2010,7+,7.7,N/A
24,Hellsing,2001,16+,7.9,N/A
25,SHIMONETA: A Boring World Where the Concept of Dirty Jokes Doesn't Exist,2015,18+,7.1,N/A
26,Bad Banks,2018,7+,8.0,N/A
27,Cold Case Files,1999,18+,8.0,N/A
28,Locked Up Abroad,2006,16+,8.2,N/A
29,Look Around You,2002,7+,8.4,N/A
30,Hillary,2020,18+,5.9,77%
31,Laverne & Shirley,1976,all,6.9,N/A
32,Intruders,2014,16+,6.7,39%
33,The Bastard Executioner,2015,18+,6.2,47%
34,The Biggest Loser,2004,7+,5.4,N/A
35,Alone Together,2018,16+,6.3,62%
36,Rosewood,2015,16+,6.7,9%
37,Duncanville,2020,16+,5.6,89%
38,Perfect Harmony,2019,7+,6.6,62%
39,Yona of the Dawn,2014,16+,8.1,N/A
40,Monthly Girls' Nozaki-kun,2014,7+,7.7,N/A
41,Sonic x,2003,16+,6.1,N/A
42,20/20,1978,N/A,6.6,N/A
43,The Dana Carvey Show,1996,N/A,7.3,80%
44,Dates,2013,N/A,7.5,88%
45,Love Stage!!,2014,18+,7.3,N/A
46,Guilty Crown,2011,16+,7.1,N/A
47,The Accident,2019,N/A,6.0,92%
48,Mountain Men,2012,7+,7.3,N/A
49,WWE Friday Night SmackDown,1999,7+,7.3,N/A
0,Graves,2016,18+,6.5,50%
1,Tiny Toon Adventures,1990,all,7.5,N/A
2,Infinite Stratos,2011,18+,6.7,N/A
3,Naked and Afraid XL,2015,16+,7.4,N/A
4,To Love-Ru,2008,18+,6.9,N/A
5,The Odd Couple,2015,7+,6.4,N/A
6,Cardfight!! Vanguard,2011,16+,7.2,N/A
7,Dual Survival,2010,16+,7.5,N/A
8,Plastic Memories,2015,16+,7.3,N/A
9,Melrose Place,1992,16+,5.8,N/A
10,MasterChef Junior,2013,all,6.7,N/A
11,Property Brothers,2011,all,7.2,N/A
12,Billy on the Street,2011,16+,7.7,N/A
13,Kingdom,2007,N/A,7.9,N/A
14,A Certain Scientific Railgun,2009,16+,7.5,N/A
15,Girls und Panzer,2012,16+,7.5,N/A
16,Mister Ed,1961,all,7.0,N/A
17,Popeye the Sailor,1960,all,7.1,N/A
18,Deadbeat,2014,16+,7.5,N/A
19,Damien,2016,16+,6.9,11%
20,American Gladiators,1989,7+,6.5,N/A
21,Danganronpa: The Animation,2013,18+,6.8,N/A
22,House Hunters International,2006,all,7.0,N/A
23,Wiseguy,1987,7+,7.8,N/A
24,Clarence,2014,7+,6.5,N/A
25,Baywatch,1989,7+,5.3,N/A
26,Sonic Boom,2014,7+,7.0,N/A
27,Alias Smith and Jones,1971,7+,7.6,N/A
28,City Homicide,2001,N/A,7.4,N/A
29,Lost in Space,1965,all,7.2,N/A
30,The Real Housewives of Beverly Hills,2010,16+,4.8,N/A
31,Perfect Strangers,1986,7+,7.2,N/A
32,Your Pretty Face Is Going to Hell,2013,18+,7.7,N/A
33,Hard Sun,2018,18+,6.6,48%
34,Taggart,1983,18+,7.2,N/A
35,MEGALOBOX,2018,16+,7.8,N/A
36,Packed to the Rafters,2008,18+,7.4,N/A
37,Some Girls,2012,16+,7.6,N/A
38,Justice League Action,2016,7+,7.7,N/A
39,America's Got Talent,2006,7+,5.8,N/A
40,Clannad After Story,2009,7+,8.6,N/A
41,Cutthroat Kitchen,2013,all,7.2,N/A
42,Ben 10: Omniverse,2012,7+,5.7,N/A
43,Haganai: I Don't Have Many Friends,2011,18+,7.2,N/A
44,OK K.O.! Let's Be Heroes,2017,7+,7.1,N/A
45,"Doogie Howser, M.D.",1989,7+,6.5,N/A
46,Ironside,1967,7+,6.9,N/A
47,Bella and the Bulldogs,2015,all,5.2,N/A
48,Silk Stalkings,1991,16+,6.5,N/A
49,Alaska: The Last Frontier,2011,16+,7.7,N/A
0,Champions,2018,7+,6.0,63%
1,The Asterisk War,2015,16+,6.8,N/A
2,Just Between Lovers,2017,N/A,8.0,N/A
3,Love Island,2015,N/A,5.1,N/A
4,Chivalry of a Failed Knight,2015,18+,7.4,N/A
5,Baghdad Central,2020,N/A,7.1,88%
6,Whose Line Is It Anyway? (UK),1988,7+,8.2,N/A
7,Grimgar of Fantasy and Ash,2016,16+,7.5,N/A
8,The Qwaser of Stigmata,2010,18+,5.5,N/A
9,The Last Alaskans,2015,18+,8.5,N/A
10,Deadly Women,2005,16+,8.0,N/A
11,Hoarders,2009,7+,6.4,N/A
12,Married,2014,18+,7.0,56%
13,Living Single,1993,7+,7.3,N/A
14,Vanderpump Rules,2013,16+,5.4,N/A
15,The Fruit of Grisaia,2014,18+,7.1,N/A
16,Wallander,2005,N/A,7.6,N/A
17,The Game,2006,16+,6.7,N/A
18,Every Witch Way,2014,7+,5.0,N/A
19,My 600-lb Life,2012,16+,6.6,N/A
20,This Way Up,2019,N/A,7.7,93%
21,D.Gray-man Hallow,2016,16+,7.7,N/A
22,My Life as a Teenage Robot,2003,all,7.0,N/A
23,Devil May Cry,2007,18+,7.1,N/A
24,Son of Zorn,2016,16+,6.7,58%
25,Love Island Australia,2018,18+,5.4,N/A
26,My Love Story!!,2015,7+,7.8,N/A
27,grown-ish,2018,16+,6.4,N/A
28,WATAMOTE,2013,16+,7.3,N/A
29,Fear Factor,2001,7+,5.6,N/A
30,Barbarians Rising,2016,18+,7.8,N/A
31,The Real Housewives of New York City,2008,16+,4.3,N/A
32,Designing Women,1986,7+,7.0,N/A
33,Hunter,1984,7+,6.8,N/A
34,Blood Lad,2013,16+,7.1,N/A
35,Beck,1997,N/A,7.4,N/A
36,Bring It!,2014,7+,6.6,N/A
37,All Saints,1998,16+,7.0,N/A
38,Reef Break,2019,7+,5.9,33%
39,The Four: Battle for Stardom,2018,N/A,4.1,17%
40,Cake Boss,2009,7+,6.6,N/A
41,7th Heaven,1996,7+,5.2,N/A
42,Sword Art Online Alternative: Gun Gale Online,2018,16+,6.8,N/A
43,Father Knows Best,1954,all,7.4,N/A
44,Primeval: New World,2012,16+,6.5,N/A
45,Dietland,2018,16+,6.4,81%
46,Beyond the Boundary,2013,16+,7.3,N/A
47,Outmatched,2020,7+,5.6,22%
48,Kämpfer,2009,18+,6.2,N/A
49,Date a Live,2013,18+,7.0,N/A
0,Voyage to the Bottom of the Sea,1964,7+,7.2,N/A
1,Marido en Alquiler,2013,N/A,8.4,N/A
2,Aesthetica of a Rogue Hero,2012,18+,7.2,N/A
3,Devils Line,2018,18+,6.8,N/A
4,Itazura na Kiss,2008,N/A,7.5,N/A
5,Hellevator,2015,18+,6.0,N/A
6,Good Doctor,2013,N/A,8.1,N/A
7,Mysteries at the Museum,2010,7+,8.1,N/A
8,Pramface,2012,16+,7.6,N/A
9,The Moodys,2019,16+,6.6,62%
10,Bering Sea Gold,2012,all,6.6,N/A
11,Disappeared,2010,16+,8.0,N/A
12,Utopia Falls,2020,N/A,4.9,33%
13,Undercover Boss,2010,7+,5.8,N/A
14,Worst Cooks in America,2010,all,6.4,N/A
15,Swamp People,2010,7+,6.3,N/A
16,Doc McStuffins,2012,all,6.7,N/A
17,The Passing Bells,2014,N/A,6.9,N/A
18,Say Yes to the Dress,2007,7+,5.6,N/A
19,Hunter Street,2017,all,6.8,N/A
20,Hollywood Game Night,2013,7+,7.3,N/A
21,BuzzFeed Unsolved - True Crime,2016,N/A,8.9,N/A
22,Sex&Drugs&Rock&Roll,2015,16+,7.1,N/A
23,The Bachelorette,2003,16+,3.4,62%
24,The Slap,2015,16+,7.6,67%
25,"Acero, Woman of Steel",2014,16+,7.2,N/A
26,Buzzfeed Unsolved: Supernatural,2016,N/A,8.7,N/A
27,Daniel Deronda,2002,N/A,7.2,N/A
28,Archangel,2005,N/A,6.5,N/A
29,School Rumble,2004,7+,7.8,N/A
30,Pure,2017,16+,7.0,N/A
31,The Hills,2006,7+,3.5,52%
32,Keeping Up with the Kardashians,2007,16+,2.8,N/A
33,Wise Man’s Grandchild,2019,16+,6.7,N/A
34,Kono Oto Tomare!: Sounds of Life,2019,7+,7.4,N/A
35,Iron Chef America,2005,all,7.1,N/A
36,Ultraviolet,2017,18+,7.0,N/A
37,Dante's Cove,2005,18+,6.0,N/A
38,Golden Time,2013,16+,7.5,N/A
39,Criminal Minds: Suspect Behavior,2011,16+,6.3,42%
40,Bachelor in Paradise,2014,16+,5.2,N/A
41,Dog with a Blog,2012,all,4.8,N/A
42,Love It or List It,2008,all,6.3,N/A
43,90 Day Fiancé: Happily Ever After?,2016,16+,6.2,N/A
44,Party of Five,2020,N/A,5.2,N/A
45,Restaurant: Impossible,2011,all,6.8,N/A
46,Blast of Tempest,2012,16+,7.6,N/A
47,Paradox,2009,16+,7.1,N/A
48,A Crime to Remember,2013,16+,8.3,N/A
49,Total Divas,2013,16+,6.5,N/A
0,Good Eats: Reloaded,2018,all,8.8,N/A
1,Freakish,2016,16+,6.4,N/A
2,Project Runway All Stars,2012,7+,7.0,N/A
3,Mayo Chiki!,2011,18+,7.1,N/A
4,The Real Housewives of New Jersey,2009,16+,4.0,N/A
5,"Good Morning, Miss Bliss",1988,all,6.8,N/A
6,Bloom,2019,18+,6.6,N/A
7,Dr. Pimple Popper,2018,16+,6.6,N/A
8,Zomboat!,2019,N/A,6.9,N/A
9,Slayers,1995,7+,7.5,N/A
10,Accel World,2012,16+,7.2,N/A
11,Black Bullet,2014,18+,7.0,N/A
12,Tanked,2011,7+,6.6,N/A
13,"Say ""I love you.""",2012,16+,7.4,N/A
14,The Smile Has Left Your Eyes,2018,all,7.4,N/A
15,Himouto! Umaru-chan,2015,16+,7.0,N/A
16,The Lowe Files,2017,7+,6.8,60%
17,OutDaughtered,2016,7+,7.0,N/A
18,Butterfly,2018,N/A,6.2,93%
19,Total Bellas,2016,16+,5.8,N/A
20,Celebrity Family Feud,2008,7+,6.1,N/A
21,East Los High,2013,16+,7.0,N/A
22,The Driver,2014,16+,7.0,N/A
23,The Electric Company,1971,all,8.1,N/A
24,Is This a Zombie?,2011,16+,7.1,N/A
25,Castaways,2018,N/A,6.2,N/A
26,Oreimo,2010,16+,6.5,N/A
27,Lincoln Heights,2007,7+,7.7,N/A
28,Three Sheets,2006,18+,8.2,N/A
29,The Secret of Crickley Hall,2012,N/A,6.9,N/A
30,Air Gear,2006,18+,7.2,N/A
31,Marlon,2017,7+,7.0,N/A
32,An American Murder Mystery: The Staircase,2018,16+,7.5,N/A
33,Axe Cop,2013,18+,7.4,70%
34,The Comedians,2015,18+,6.7,58%
35,Maison Close,2010,18+,6.7,N/A
36,The Real Housewives of Atlanta,2008,16+,4.3,N/A
37,Unexpected,2017,16+,5.8,N/A
38,The Only Way Is Essex,2010,18+,3.1,N/A
39,Curious George,2006,all,7.1,N/A
40,Trust Me,2017,N/A,7.0,79%
41,Hetalia,2009,18+,7.4,N/A
42,There's... Johnny!,2017,N/A,7.2,83%
43,Quick Draw,2013,N/A,7.6,N/A
44,The Next Step,2013,all,6.0,N/A
45,Black Jesus,2014,18+,6.9,N/A
46,Battleground,2012,N/A,7.9,73%
47,Hangar 1: The UFO Files,2015,7+,7.4,N/A
48,Dragnet,1967,7+,7.5,N/A
49,Little Women: LA,2014,16+,5.4,N/A
0,The Circus,2016,16+,7.1,N/A
1,Melrose Place,2009,16+,6.0,60%
2,The Dick Van Dyke Show,1961,all,6.8,N/A
3,Skin Wars,2014,16+,7.1,N/A
4,Elena's Ghost,2015,16+,7.6,N/A
5,ID: INVADED,2020,18+,7.7,N/A
6,Dueños del Paraíso,2015,16+,7.1,N/A
7,The Great Food Truck Race,2010,all,6.6,N/A
8,McHale's Navy,1962,all,7.4,N/A
9,Weird Science,1994,N/A,6.8,N/A
10,Council of Dads,2020,7+,6.1,50%
11,Agent X,2015,16+,6.2,28%
12,Blood-C,2011,18+,6.3,N/A
13,Pocoyo,2005,all,7.5,N/A
14,Prey,2014,16+,7.2,N/A
15,Toilet-Bound Hanako-kun,2020,16+,7.5,N/A
16,Renegade,1992,N/A,6.0,N/A
17,Astro Boy,1980,all,7.3,N/A
18,"I Love You, America",2017,18+,5.7,93%
19,Bedlam,2011,N/A,6.6,44%
20,Kiri,2018,N/A,6.6,89%
21,Jersey Shore,2009,16+,3.6,N/A
22,No Activity,2017,18+,6.7,N/A
23,Great British Menu,2006,N/A,7.3,N/A
24,"BOFURI: I Don’t Want to Get Hurt, so I’ll Max Out My Defense.",2020,16+,7.2,N/A
25,Kids Baking Championship,2015,all,7.0,N/A
26,Arifureta: From Commonplace to World's Strongest,2019,16+,6.5,N/A
27,The Food That Built America,2019,N/A,8.4,N/A
28,Born This Way,2015,7+,8.3,N/A
29,Tim and Eric's Bedtime Stories,2014,18+,7.9,N/A
30,The F Word,2005,18+,6.9,N/A
31,Guy's Grocery Games,2013,all,6.4,N/A
32,Top Gear,2010,7+,5.3,N/A
33,Attack on Titan: Junior High,2015,16+,6.5,N/A
34,Jumanji,1996,7+,6.4,N/A
35,Absolute Duo,2015,18+,6.5,N/A
36,Amagami SS,2010,7+,6.8,N/A
37,Criminal Justice,2008,N/A,7.8,N/A
38,Princess Tutu,2002,16+,8.1,N/A
39,America's Book of Secrets,2012,7+,7.0,N/A
40,Bizarre Foods with Andrew Zimmern,2006,7+,7.8,N/A
41,Black Cat,2005,16+,7.1,N/A
42,The Bachelor Presents: Listen to Your Heart,2020,16+,5.1,N/A
43,Hollyoaks,1995,16+,4.7,N/A
44,Nazi Megastructures,2013,all,8.0,N/A
45,Getting On,2009,16+,8.1,N/A
46,"Nicky, Ricky, Dicky & Dawn",2014,all,5.1,N/A
47,The Weekly,2019,18+,6.5,38%
48,Angels of Death,2018,18+,6.4,N/A
49,Upper Middle Bogan,2013,16+,7.9,N/A
0,Fashion House,2006,18+,6.5,N/A
1,Rick Steves' Europe,2000,all,8.4,N/A
2,Unikitty,2017,7+,5.7,N/A
3,Second chance,2005,7+,6.9,N/A
4,The Commish,1991,16+,7.1,N/A
5,Heathcliff,1984,7+,6.6,N/A
6,Love & Hip Hop Hollywood,2014,16+,5.2,N/A
7,Baka and Test: Summon the Beasts,2010,7+,7.4,N/A
8,The Wine Show,2016,N/A,8.9,N/A
9,Jimmy Kimmel Live!,2003,16+,6.6,N/A
10,I Am Frankie,2017,all,6.1,N/A
11,Plunderer,2020,16+,6.2,N/A
12,F*ck That's Delicious,2016,18+,8.0,N/A
13,Bless the Harts,2019,16+,4.9,82%
14,The Little Couple,2009,all,6.8,N/A
15,Yu-Gi-Oh! Arc-V,2014,7+,6.2,N/A
16,Big Windup!,2007,7+,7.6,N/A
17,The Lucy Show,1962,7+,7.2,N/A
18,James May's Man Lab,2010,N/A,7.8,N/A
19,The New Woody Woodpecker Show,1999,all,6.5,N/A
20,Hangin' with Mr. Cooper,1992,7+,6.3,N/A
21,Unusual Suspects,2010,16+,7.6,N/A
22,Genius Junior,2018,all,7.5,N/A
23,The Real Housewives of Orange County,2006,16+,4.1,N/A
24,VanDread,2000,16+,7.1,N/A
25,What Would You Do?,2008,7+,7.2,N/A
26,Marriage Boot Camp: Reality Stars,2014,16+,4.5,N/A
27,Kono Yuusha ga Ore Tueee Kuse ni Shinchou Sugiru,2019,N/A,7.4,N/A
28,Abandoned,2016,16+,8.4,N/A
29,Cold Squad,1998,16+,6.9,N/A
30,Young Hercules,1998,7+,5.8,N/A
31,Extreme Ghostbusters,1997,7+,6.9,N/A
32,The Dick Cavett Show,1968,N/A,8.4,N/A
33,Hakuoki -Demon Of The Fleeting Blossom-,2010,18+,7.4,N/A
34,Diesel Brothers,2016,16+,6.6,N/A
35,Space Brothers,2012,16+,8.1,N/A
36,Astra Lost in Space,2019,16+,8.0,N/A
37,Feed the Beast,2016,16+,6.7,23%
38,Corpse Princess,2008,7+,6.9,N/A
39,Treehouse Masters,2013,7+,7.3,N/A
40,Flip or Flop,2013,all,6.1,N/A
41,Arliss,1996,N/A,7.0,N/A
42,The Beautiful Lie,2015,N/A,7.3,N/A
43,Fated to Love You,2008,7+,7.4,N/A
44,Little Big Shots,2016,all,7.2,N/A
45,Are You Smarter Than a 5th Grader?,2007,7+,4.9,N/A
46,Insane Pools: Off the Deep End,2015,7+,7.1,N/A
47,Vanished,2006,18+,7.0,67%
48,The Bachelor,2002,16+,3.2,N/A
49,Obsession: Dark Desires,2014,16+,7.4,N/A
0,Ask This Old House,2002,all,7.6,N/A
1,Webster,1983,all,5.7,N/A
2,Ellen's Game of Games,2017,7+,5.6,N/A
3,The Strange Calls,2012,18+,7.4,N/A
4,Coupling,2000,7+,3.6,N/A
5,Hikaru no Go,2001,all,8.3,N/A
6,The Bisexual,2018,N/A,6.0,92%
7,Taken at Birth,2019,N/A,8.4,N/A
8,Bong Appétit,2016,16+,8.0,N/A
9,Aria the Scarlet Ammo,2011,16+,6.8,N/A
10,My Favorite Martian,1963,all,7.3,N/A
11,Rabbids Invasion,2013,7+,5.0,N/A
12,Little Women: Atlanta,2016,16+,5.1,N/A
13,Witchblade,2006,18+,7.2,N/A
14,頭文字D First Stage,1998,7+,8.4,N/A
15,Alvinnn!!! and The Chipmunks,2015,7+,4.5,N/A
16,Heartstrings,2011,16+,7.2,N/A
17,Worth It,2016,N/A,8.6,N/A
18,Seed,2013,18+,5.6,67%
19,Saints & Sinners,2016,16+,7.3,N/A
20,L.A. Dragnet,2003,N/A,7.1,N/A
21,The Last Defense,2018,N/A,7.3,N/A
22,Blue Dragon,2007,N/A,6.2,N/A
23,Tiger & Bunny,2011,16+,7.4,N/A
24,Watch Over Me,2006,16+,6.5,N/A
25,Beat Bobby Flay,2014,all,6.3,N/A
26,Handy Manny,2006,all,5.5,N/A
27,Amagi Brilliant Park,2014,16+,7.0,N/A
28,Curiosity,2011,16+,7.8,N/A
29,Who Wants to Be a Millionaire,2020,16+,6.1,N/A
30,Black Blood Brothers,2006,16+,7.1,N/A
31,Yu-Gi-Oh! 5D's,2008,all,6.7,N/A
32,Monster Rancher,1999,7+,7.1,N/A
33,The Dude Perfect Show,2016,7+,6.6,N/A
34,Ruyi's Royal Love in the Palace,2018,N/A,7.6,N/A
35,Rosa Diamante,2012,N/A,8.3,N/A
36,Behind Bars: Rookie Year,2015,16+,7.7,N/A
37,Flea Market Flip,2012,all,6.6,N/A
38,Little Mosque on the Prairie,2007,7+,5.6,N/A
39,Matador,2014,16+,5.7,67%
40,The Gumby Show,1955,all,7.0,N/A
41,Anyone But Me,2009,16+,7.1,N/A
42,El Clon,2000,N/A,6.8,N/A
43,Sin tetas no hay paraíso,2008,18+,5.6,N/A
44,StarTalk with Neil deGrasse Tyson,2015,all,7.8,N/A
45,The Romeo Section,2015,16+,6.9,N/A
46,The Wall,2016,7+,6.0,N/A
47,Sister Wives,2010,16+,4.3,N/A
48,Life and Death Row,2014,N/A,8.3,N/A
49,The Impostor,2014,N/A,7.8,N/A
0,Still 17,2018,N/A,7.8,N/A
1,NASA's Unexplained Files,2012,all,6.7,N/A
2,Madeline,1993,all,6.9,N/A
3,Food Network Star,2005,7+,6.3,N/A
4,The First 48 Presents: Homicide Squad Atlanta,2019,16+,8.5,N/A
5,Chuggington,2008,all,5.9,N/A
6,The Wallflower,2006,16+,7.5,N/A
7,Cake,2019,18+,6.0,N/A
8,Total Wipeout,2009,N/A,6.0,N/A
9,I Am Jazz,2015,7+,4.1,N/A
10,I Spy,1965,N/A,7.1,N/A
11,My Strange Addiction,2010,16+,5.7,N/A
12,Too Cute,2011,7+,8.5,N/A
13,Threesome,2011,18+,7.6,N/A
14,Wild Things with Dominic Monaghan,2013,16+,8.4,N/A
15,Hunderby,2012,16+,7.4,N/A
16,Australia's Next Top Model,2005,N/A,6.0,N/A
17,Below the Surface,2017,N/A,7.2,N/A
18,Conviction,2006,16+,6.9,N/A
19,Kung Fu Panda: Legends of Awesomeness,2011,7+,6.1,N/A
20,Cults and Extreme Belief,2018,16+,7.7,N/A
21,No Activity,2015,18+,7.9,N/A
22,Breaking Amish,2012,N/A,5.0,N/A
23,"Rica, Famosa, Latina",2014,N/A,5.5,N/A
24,Celia,2015,N/A,8.2,N/A
25,The Gong Show,1976,7+,7.0,N/A
26,Here's Lucy,1968,all,6.9,N/A
27,Undefeated Bahamut Chronicle,2016,N/A,6.5,N/A
28,Holiday Baking Championship,2014,all,7.5,N/A
29,Flying Witch,2016,all,7.2,N/A
30,Casey Anthony: An American Murder Mystery,2017,16+,7.2,N/A
31,Nanny and the Professor,1970,N/A,7.1,N/A
32,The Murder of Laci Peterson,2017,16+,7.4,N/A
33,You Bet Your Life,1947,N/A,8.4,N/A
34,Who The (Bleep) Did I Marry?,2010,7+,6.6,N/A
35,High School USA!,2013,18+,6.4,44%
36,Steampunk'd,2015,N/A,5.8,N/A
37,Flirty Dancing,2019,7+,6.6,100%
38,Brothers Conflict,2013,16+,6.1,N/A
39,T.U.F.F. Puppy,2010,7+,5.6,N/A
40,Sherlock Holmes,1954,N/A,7.7,N/A
41,Our Cartoon President,2018,18+,5.1,N/A
42,Harvey Beaks,2015,7+,7.0,N/A
43,Bleak House,1985,N/A,7.4,N/A
44,Boy Band,2017,N/A,5.2,N/A
45,Hidden Potential,2018,7+,7.3,N/A
46,Sherman's Showcase,2019,18+,5.4,100%
47,Cupcake Wars,2010,all,5.8,N/A
48,Dancing with the Stars,2005,7+,4.4,N/A
49,Mr. D,2012,N/A,6.5,N/A
0,The Aliens,2016,N/A,6.1,N/A
1,Astroblast!,2014,all,6.7,N/A
2,Mischief of the Gods,2014,16+,7.2,N/A
3,Indebted,2020,16+,4.3,25%
4,Food Paradise,2007,all,8.0,N/A
5,1969,2019,N/A,6.9,N/A
6,Brave 10,2012,7+,6.6,N/A
7,The Real Housewives of Potomac,2016,16+,4.3,N/A
8,Murder in the Heartland,2017,16+,7.8,N/A
9,The Hotwives of Orlando,2014,16+,7.4,85%
10,The Tesla Files,2018,N/A,7.3,N/A
11,Dagashi Kashi,2016,16+,6.2,N/A
12,Victoria's Secret Fashion Show,1999,18+,8.2,N/A
13,Nura: Rise of the Yokai Clan,2010,N/A,7.6,N/A
14,Card Captor Sakura: Clear Card,2018,N/A,7.9,N/A
15,Law & Order True Crime,2017,16+,7.4,N/A
16,To Tell the Truth,2016,N/A,6.4,N/A
17,Mythbusters Jr.,2019,7+,6.8,N/A
18,Kino's Journey: The Beautiful World - The Animated Series,2017,18+,7.1,N/A
19,The Loop,2006,16+,7.4,N/A
20,Nightmare Next Door,2011,16+,7.1,N/A
21,Cockroaches,2015,N/A,6.2,N/A
22,Caribbean Life,2014,all,6.6,N/A
23,The Ambition of Oda Nobuna,2012,16+,6.5,N/A
24,Dream Corp LLC,2016,16+,7.1,N/A
25,Lucas Bros Moving Co,2013,18+,7.0,N/A
26,The Librarians,2007,N/A,6.9,N/A
27,Caillou,1998,all,4.1,N/A
28,Tiny House Hunters,2014,all,6.1,N/A
29,Beautiful Bones: Sakurako’s Investigation,2015,18+,6.9,N/A
30,Senryu Girl,2019,7+,7.0,N/A
31,Saved by the Bell: The College Years,1993,7+,6.3,9%
32,Match Game,1973,16+,6.0,N/A
33,Living With Fran,2005,N/A,5.8,N/A
34,Miz & Mrs,2018,16+,6.3,N/A
35,Filthy Rich,2016,N/A,7.2,N/A
36,Your Worst Nightmare,2014,16+,7.0,N/A
37,Broken Angel,2013,7+,7.1,N/A
38,House Hunters Renovation,2012,all,6.4,N/A
39,"Neon Joe, Werewolf Hunter",2015,16+,7.2,N/A
40,School of Rock,2016,all,4.3,N/A
41,I Am Cait,2015,16+,3.5,86%
42,Shark Week,1987,16+,8.1,N/A
43,Snake City,2014,N/A,8.6,N/A
44,Blade Dance of Elementalers,2014,16+,6.7,N/A
45,The Killer Speaks,2013,16+,7.4,N/A
