show,year,rating,imdb,rotten_tomatoes
138,Maniac,2018,16+,7.8,85%
139,Outer Banks,2020,18+,7.7,72%
140,On My Block,2018,16+,8.1,97%
141,Wild Wild Country,2018,16+,8.2,98%
142,Longmire,2012,16+,8.3,88%
143,Marvel's Luke Cage,2016,18+,7.3,88%
144,Dark Matter,2015,18+,7.5,89%
145,HAPPY!,2017,18+,8.2,84%
146,Alias Grace,2017,18+,7.8,99%
147,Colony,2016,16+,7.4,92%
148,Rectify,2013,16+,8.3,95%
149,The Stranger,2020,16+,7.4,89%
150,Feel Good,2020,N/A,7.5,100%
151,DC's Legends of Tomorrow,2016,16+,6.8,87%
152,Derry Girls,2018,16+,8.4,97%
153,The Tudors,2007,18+,8.1,69%
154,The Inbetweeners,2008,18+,8.4,54%
155,Call the Midwife,2012,7+,8.4,89%
156,The Kominsky Method,2018,18+,8.2,90%
157,Pose,2018,16+,8.6,96%
158,The Midnight Gospel,2020,18+,8.4,88%
159,Law & Order: Special Victims Unit,1999,16+,8.0,N/A
160,Ripper Street,2012,18+,8.1,100%
161,Hawaii Five-0,2010,16+,7.3,82%
162,Extras,2005,16+,8.3,89%
163,The Fosters,2013,16+,7.9,97%
164,The Borgias,2011,18+,7.9,85%
165,Marco Polo,2014,18+,8.0,67%
166,Hell on Wheels,2011,16+,8.3,72%
167,The 4400,2004,7+,7.3,95%
168,The Spy,2019,18+,7.9,86%
169,Reign,2013,16+,7.5,86%
170,Designated Survivor,2016,7+,7.5,71%
171,Messiah,2020,18+,7.7,44%
172,Love,2016,18+,7.7,94%
173,Queer Eye,2018,16+,8.5,91%
174,Marvel's The Defenders,2017,18+,7.3,78%
175,Limitless,2015,16+,7.7,57%
176,Star Trek: Voyager,1995,7+,7.8,77%
177,Dirty Money,2018,16+,8.1,100%
178,'Allo 'Allo!,1984,7+,8.3,N/A
179,Jonathan Strange & Mr Norrell,2015,16+,8.2,91%
180,Delhi Crime,2019,N/A,8.5,91%
181,Supergirl,2015,7+,6.3,87%
182,Top Boy,2011,18+,8.4,95%
183,Bleach,2004,18+,8.1,N/A
184,Haven,2010,16+,7.5,63%
185,The Shannara Chronicles,2016,16+,7.2,77%
186,Don't F**k with Cats: Hunting an Internet Killer,2019,18+,8.1,67%
187,Bloodline,2015,18+,8.0,62%
188,Queen of the South,2016,16+,7.9,66%
189,Babylon Berlin,2017,18+,8.4,N/A
190,Travelers,2016,16+,8.1,N/A
191,Hart of Dixie,2011,7+,7.7,81%
192,Chef's Table,2015,all,8.6,100%
193,That '70s Show,1998,16+,8.1,N/A
194,TURN: Washington's Spies,2014,16+,8.1,81%
195,The Magicians,2015,16+,7.6,N/A
196,Crazy Ex-Girlfriend,2015,16+,7.8,98%
197,Haikyu!!,2014,16+,8.7,N/A
198,Episodes,2011,18+,7.8,80%
199,Galavant,2015,7+,8.1,89%
200,Absolutely Fabulous,1992,16+,8.1,96%
201,Merlin,2008,7+,7.9,N/A
202,Soul Eater,2008,16+,7.8,100%
203,Lost Girl,2010,16+,7.7,65%
204,Malcolm in the Middle,2000,7+,8.0,N/A
205,Wynonna Earp,2016,16+,7.4,93%
206,Cheer,2020,16+,8.2,96%
207,The Originals,2013,16+,8.2,27%
208,The Keepers,2017,16+,8.1,96%
209,F is for Family,2015,18+,8.0,86%
210,Wallander,2008,7+,7.9,88%
211,Dead Set,2008,18+,7.7,90%
212,Heartland,2007,7+,8.4,45%
213,Hilda,2018,7+,8.6,100%
214,Living with Yourself,2019,18+,7.2,84%
215,Glee,2009,16+,6.7,71%
216,The Staircase,2005,16+,7.9,93%
217,Queer as Folk,1999,18+,8.2,100%
218,Disenchantment,2018,16+,7.2,68%
219,Nurse Jackie,2009,18+,7.7,81%
220,Resurrection: Ertugrul,2014,16+,7.7,N/A
221,Imposters,2017,16+,7.8,100%
222,Madam Secretary,2014,16+,7.6,68%
223,North & South,2004,7+,8.6,N/A
224,Case Closed,1996,16+,8.4,N/A
225,Safe,2018,18+,7.3,77%
226,Evil Genius,2018,18+,7.6,80%
227,Ezel,2009,all,8.6,N/A
228,Chewing Gum,2015,16+,7.7,100%
229,Middleditch & Schwartz,2020,18+,8.7,100%
230,Star Trek: Enterprise,2001,7+,7.5,50%
231,The Order,2019,18+,6.9,100%
232,Lilyhammer,2012,18+,8.0,65%
233,Blue Mountain State,2010,18+,8.3,N/A
234,Portlandia,2011,16+,7.8,94%
235,American Crime,2015,16+,7.8,97%
236,Helix,2014,16+,6.8,81%
237,Cheers,1982,7+,7.8,N/A
238,Legacies,2018,16+,7.5,N/A
239,Last Tango in Halifax,2012,16+,8.3,98%
240,Marvel's Iron Fist,2017,18+,6.5,37%
241,Marianne,2019,18+,7.5,93%
242,Fairy Tail,2009,16+,8.0,N/A
243,Voltron: Legendary Defender,2016,7+,8.1,100%
244,Five Came Back,2017,16+,8.3,97%
245,Glitch,2015,16+,7.4,80%
246,Pokémon,1997,7+,7.5,N/A
247,Better Than Us,2018,N/A,7.4,100%
248,Nailed It!,2018,7+,7.4,98%
249,Skins,2007,18+,8.2,N/A
250,Dracula,2020,18+,6.8,74%
251,Code Geass: Lelouch of the Rebellion,2006,18+,8.6,N/A
252,Everything Sucks!,2018,16+,7.5,72%
253,All American,2018,16+,7.6,96%
254,Quantico,2015,16+,6.7,82%
255,The Mechanism,2018,16+,8.4,80%
256,The Society,2019,18+,7.0,85%
257,Royal Pains,2009,7+,7.0,94%
258,The Chef Show,2019,18+,8.2,100%
259,Fullmetal Alchemist,2003,16+,8.6,N/A
260,Versailles,2015,16+,7.9,66%
261,GHOUL,2018,18+,7.1,83%
262,The Circle,2020,18+,7.5,80%
263,Raising Dion,2019,7+,7.2,82%
264,The Innocence Files,2020,N/A,8.1,100%
265,ERASED,2016,16+,8.5,N/A
266,JoJo's Bizarre Adventure,2012,18+,8.4,N/A
267,Abstract: The Art of Design,2017,16+,8.4,100%
268,Shooter,2016,16+,7.5,44%
269,Secret City,2016,16+,7.4,100%
270,Documentary Now!,2015,18+,8.1,94%
271,The Rain,2018,18+,6.3,82%
272,Baby,2018,18+,6.8,80%
273,Star-Crossed,2014,16+,7.3,57%
274,Marcella,2016,18+,7.4,65%
275,Rise of Empires: Ottoman,2020,18+,8.0,N/A
276,Flowers,2016,N/A,8.2,100%
277,The Devil Next Door,2019,18+,7.6,91%
278,Yeh Meri Family,2018,N/A,9.2,N/A
279,The Seven Deadly Sins,2014,16+,8.1,N/A
280,Frontier,2016,18+,7.2,75%
281,Cold Justice,2013,16+,7.9,80%
282,Frequency,2016,7+,7.5,77%
283,InuYasha,2000,16+,7.9,N/A
284,Wentworth,2013,18+,8.6,N/A
285,Descendants of the Sun,2016,16+,8.4,N/A
286,Sword Art Online,2012,16+,7.6,N/A
287,Zoo,2015,16+,6.8,82%
288,Ancient Aliens,2010,7+,7.3,N/A
289,Hyperdrive,2019,7+,8.1,100%
290,Killer Inside: The Mind of Aaron Hernandez,2020,18+,7.4,75%
291,Containment,2016,16+,7.2,50%
292,Seven Seconds,2018,18+,7.7,77%
293,The Politician,2019,16+,7.5,57%
294,Your Lie in April,2014,7+,8.6,N/A
295,Itaewon Class,2020,N/A,8.3,N/A
296,Black Lightning,2018,16+,6.1,95%
297,Rurouni Kenshin,1996,16+,8.5,N/A
298,Spinning Out,2020,18+,7.7,63%
299,Love is Blind,2020,7+,6.0,70%
300,Ramayan,1987,all,9.3,N/A
301,Beauty and the Beast,2012,16+,7.0,51%
302,Mars,2016,7+,7.5,61%
303,Time: The Kalief Browder Story,2017,16+,8.5,100%
304,The Toys That Made Us,2017,16+,8.1,100%
305,London Spy,2015,18+,7.5,86%
306,Spotless,2015,N/A,7.9,100%
307,Private Practice,2007,16+,6.6,51%
308,Self Made: Inspired by the Life of Madam C.J. Walker,2020,16+,7.4,77%
309,Hemlock Grove,2013,18+,7.1,38%
310,Daybreak,2019,18+,6.7,70%
311,Derek,2013,16+,8.0,68%
312,Ragnarok,2020,18+,7.5,N/A
313,3%,2016,7+,7.4,33%
314,Medici: Masters of Florence,2016,7+,7.9,N/A
315,Frozen Planet,2011,all,9.0,N/A
316,Last Chance U,2016,16+,8.5,93%
317,Trailer Park Boys,2001,18+,8.4,N/A
318,Merlí,2015,16+,8.6,N/A
319,The Ranch,2016,16+,7.5,N/A
320,Akame ga Kill!,2014,18+,7.9,N/A
321,El internado,2007,7+,8.2,N/A
322,Insatiable,2018,16+,6.6,11%
323,Easy,2016,18+,6.9,90%
324,Inside Bill's Brain: Decoding Bill Gates,2019,16+,8.0,50%
325,Kim's Convenience,2016,16+,8.1,N/A
326,Surviving R. Kelly,2019,18+,7.6,95%
327,She-Ra and the Princesses of Power,2018,all,7.3,96%
328,No Tomorrow,2016,7+,7.2,88%
329,Knightfall,2017,16+,6.8,60%
330,Saint Seiya,1986,7+,8.4,N/A
331,November 13: Attack on Paris,2018,18+,8.3,100%
332,The Black Donnellys,2007,16+,8.1,40%
333,Ugly Delicious,2018,18+,7.8,100%
334,1983,2018,18+,6.8,100%
335,Flint Town,2018,18+,8.0,95%
336,The English Game,2020,N/A,7.7,67%
337,Rake,2010,16+,8.6,100%
338,Rilakkuma and Kaoru,2019,7+,8.4,100%
339,Carmen Sandiego,2019,7+,7.9,93%
340,The Great British Bake Off,2010,7+,8.7,N/A
341,Africa,2013,all,9.0,N/A
342,The Frankenstein Chronicles,2015,16+,7.3,78%
343,Young & Hungry,2014,16+,7.4,60%
344,Wu Assassins,2019,18+,6.4,83%
345,The Confession Tapes,2017,16+,7.5,100%
346,anohana: The Flower We Saw That Day,2011,16+,8.2,N/A
347,Hollywood,2020,18+,7.7,59%
348,Still Game,2002,16+,9.0,N/A
349,Bad Blood,2017,18+,7.5,80%
350,The Andy Griffith Show,1960,all,8.3,N/A
351,Collateral,2018,7+,6.7,78%
352,Caliphate,2020,N/A,8.1,N/A
353,My Next Guest Needs No Introduction With David Letterman,2018,18+,7.9,83%
354,Impractical Jokers,2011,16+,8.5,N/A
355,Black Butler,2008,16+,7.8,N/A
356,Aquarius,2015,16+,7.1,77%
357,Animaniacs,1993,all,7.9,N/A
358,Formula 1: Drive to Survive,2019,16+,8.6,N/A
359,The Trials of Gabriel Fernandez,2020,18+,8.2,N/A
360,Valhalla Murders,2019,18+,7.1,N/A
361,H2O: Just Add Water,2006,all,7.2,N/A
362,NOVA,1974,7+,8.7,N/A
363,Black Summer,2019,18+,6.4,75%
364,I'm Sorry,2017,7+,7.9,75%
365,Bonding,2019,16+,7.2,64%
366,Father Brown,2013,7+,7.7,N/A
367,When Calls the Heart,2014,all,8.3,N/A
368,The Confession Killer,2019,16+,7.4,100%
369,Battle Creek,2015,16+,7.3,96%
370,White Gold,2017,18+,7.4,88%
371,The Chalet,2018,18+,7.0,100%
372,Green Eggs and Ham,2019,N/A,8.2,100%
373,CSI: Miami,2002,16+,6.4,N/A
374,Club de Cuervos,2015,18+,8.2,80%
375,Meteor Garden,2018,16+,8.2,N/A
376,The Night Shift,2014,16+,7.4,30%
377,Crazyhead,2016,N/A,7.3,100%
378,Get Shorty,2017,18+,8.2,N/A
379,Special,2019,18+,7.6,95%
380,Mystery Science Theater 3000: The Return,2017,16+,8.0,100%
381,Victorious,2010,7+,6.9,N/A
382,Dear White People,2017,16+,6.2,95%
383,Kengan Ashura,2019,N/A,8.0,N/A
384,El Chapo,2017,16+,7.8,N/A
385,Miraculous: Tales of Ladybug & Cat Noir,2015,7+,7.8,N/A
386,Scream: The TV Series,2015,16+,7.2,N/A
387,The Universe,2007,16+,8.8,N/A
388,The Protector,2018,16+,6.9,N/A
389,Conan,2010,16+,8.1,N/A
390,The Great Train Robbery,2013,N/A,7.4,78%
391,Devilman: Crybaby,2018,N/A,7.6,80%
392,Scooby-Doo! Mystery Incorporated,2010,7+,8.0,N/A
393,Gentefied,2020,16+,7.3,88%
394,3Below: Tales of Arcadia,2018,7+,7.8,100%
395,The Curious Creations of Christine McConnell,2018,7+,7.7,100%
396,Dynasty,2017,16+,7.3,N/A
397,The Hollow,2018,7+,7.2,100%
398,Bard of Blood,2019,N/A,7.0,N/A
399,Kill la Kill,2013,18+,7.9,N/A
400,"Roswell, New Mexico",2019,16+,6.1,55%
401,Dirty John,2018,16+,7.1,71%
402,LEGO Ninjago: Masters of Spinjitzu,2012,all,6.8,N/A
403,Gurren Lagann,2007,16+,8.3,N/A
404,The Curse of Oak Island,2014,7+,7.0,N/A
405,The Guild,2007,N/A,8.2,N/A
406,Dark Tourist,2018,18+,7.6,70%
407,Grand Hotel,2011,7+,8.4,N/A
408,The Get Down,2016,16+,8.3,N/A
409,Great News,2017,7+,7.0,84%
410,Gypsy,2017,18+,6.9,38%
411,Ouran High School Host Club,2006,16+,8.2,N/A
412,30 for 30,2009,7+,8.8,N/A
413,Fuller House,2016,7+,6.8,28%
414,It's Bruno!,2019,7+,7.5,100%
415,Watership Down,2018,7+,7.2,77%
416,"No Game, No Life",2014,16+,7.9,N/A
417,Trollhunters: Tales of Arcadia,2016,7+,8.4,N/A
418,Violet Evergarden,2018,16+,8.4,N/A
419,Shtisel,2013,N/A,8.7,N/A
420,My Little Pony: Friendship Is Magic,2010,7+,7.6,N/A
421,Z Nation,2014,18+,6.7,N/A
422,Virgin River,2019,16+,7.5,N/A
423,Trinkets,2019,7+,7.1,50%
