show,year,rating,imdb,rotten_tomatoes
142,"Eerie, Indiana",1991,7+,8.2,100%
143,Big Love,2006,18+,7.5,80%
144,The Planets,2019,all,9.1,100%
145,Rurouni Kenshin,1996,16+,8.5,N/A
146,Harper's Island,2009,16+,7.5,64%
147,Beauty and the Beast,2012,16+,7.0,51%
148,Sesame Street,1969,all,8.1,N/A
149,Salvation,2017,16+,7.0,44%
150,Hell's Kitchen,2005,16+,7.1,N/A
151,ALF,1986,all,7.4,N/A
152,The Amazing Race,2001,7+,7.6,N/A
153,The Tunnel,2013,18+,7.8,91%
154,Saint Seiya,1986,7+,8.4,N/A
155,Extant,2014,16+,6.6,77%
156,Ordeal by Innocence,2018,N/A,7.3,91%
157,Rake,2010,16+,8.6,100%
158,The Test: A New Era For Australia's Team,2020,N/A,9.0,N/A
159,Shameless,2004,18+,8.0,N/A
160,Undercover,2011,7+,8.9,N/A
161,Psycho-Pass,2012,16+,8.2,N/A
162,Thirteen,2016,N/A,7.3,94%
163,Yu Yu Hakusho,1992,16+,8.4,100%
164,The Andy Griffith Show,1960,all,8.3,N/A
165,Hung,2009,18+,7.1,71%
166,Briarpatch,2020,18+,6.4,77%
167,Inside Edge,2017,18+,8.0,N/A
168,Flesh and Bone,2015,16+,8.0,62%
169,"Magnum, P.I.",1980,7+,7.5,N/A
170,H2O: Just Add Water,2006,all,7.2,N/A
171,NOVA,1974,7+,8.7,N/A
172,Flashpoint,2008,16+,7.7,N/A
173,Mirzapur,2018,N/A,8.5,N/A
174,Ghost Whisperer,2005,7+,6.3,N/A
175,The Comeback,2005,18+,8.0,72%
176,Home Fires,2015,7+,8.2,100%
177,Wolf Hall,2015,16+,8.1,98%
178,Enlightened,2011,18+,7.5,87%
179,Absentia,2017,18+,7.3,50%
180,Trapped,2015,18+,8.1,N/A
181,Spiral,2005,7+,8.5,N/A
182,Conversations with a Killer: The Ted Bundy Tapes,2019,18+,7.8,54%
183,Grantchester,2014,16+,7.9,95%
184,LEGO Ninjago: Masters of Spinjitzu,2012,all,6.8,N/A
185,Vinland Saga,2019,N/A,8.9,N/A
186,Tin Star,2017,18+,7.3,57%
187,Vegas,2012,7+,7.3,67%
188,Rugrats,1991,all,7.4,N/A
189,Beavis and Butt-head,1993,16+,7.5,N/A
190,Robin of Sherwood,1984,N/A,8.5,N/A
191,Too Old to Die Young,2019,18+,7.4,69%
192,Unforgotten,2015,18+,8.2,N/A
193,"Kill Me, Heal Me",2015,16+,8.3,N/A
194,America's Next Top Model,2003,7+,5.5,N/A
195,How to Make It in America,2010,18+,7.9,66%
196,Howards End,2017,7+,7.3,90%
197,The League of Gentlemen,1999,18+,8.4,N/A
198,Good Girls Revolt,2015,7+,8.2,73%
199,Dawson's Creek,1998,16+,6.6,N/A
200,Klondike,2014,16+,7.4,80%
201,The Carol Burnett Show,1967,all,8.8,N/A
202,Baseball,1994,16+,9.2,N/A
203,Forever,2018,18+,7.2,94%
204,Silent Witness,1996,16+,7.8,N/A
205,Vanity Fair,2018,N/A,7.3,88%
206,Britannia,2018,16+,6.7,74%
207,The Outer Limits,1995,18+,7.7,N/A
208,How the Universe Works,2010,7+,9.0,N/A
209,Informer,2018,N/A,7.9,79%
210,Mad Dogs,2015,18+,7.5,66%
211,Detectorists,2014,N/A,8.6,N/A
212,Made In Abyss,2017,18+,8.4,N/A
213,The Joy of Painting,1983,all,9.4,N/A
214,The Saint,1962,7+,7.5,N/A
215,Life's Too Short,2011,16+,7.5,53%
216,Hunted,2012,18+,6.6,76%
217,Forensic Files,1996,16+,8.8,N/A
218,A Different World,1987,N/A,6.9,95%
219,Sense and Sensibility,2008,16+,8.0,N/A
220,Spawn,1997,18+,8.1,N/A
221,Chacha Vidhayak Hain Humare,2018,N/A,8.0,N/A
222,Hustle,2004,16+,8.1,N/A
223,Laakhon Mein Ek,2017,N/A,8.3,N/A
224,Brideshead Revisited,1981,N/A,8.5,N/A
225,Toradora!,2008,16+,8.1,N/A
226,Darker than Black,2007,16+,7.8,N/A
227,Jean-Claude Van Johnson,2016,18+,7.7,64%
228,Cold Feet,1998,7+,8.2,82%
229,The Cosby Show,1984,all,7.3,N/A
230,Arthur,1996,7+,7.3,N/A
231,American Experience,1988,7+,8.5,N/A
